lang_id,code,name,percent,official,,,
1,AFG,Dari,50,TRUE,,,
2,AFG,Pashto,35,TRUE,,,
3,AFG,Turkic,11,FALSE,,,
4,AFG,Other,4,FALSE,,,
5,ALB,Albanian,98.8,TRUE,,,
6,ALB,Greek,0.5,FALSE,,,
7,ALB,Other,0.6,FALSE,,,
8,ALB,unspecified,0.1,FALSE,,,
9,DZA,Arabic,0,TRUE,,,
10,DZA,French,0,FALSE,,,
11,DZA,Berber or Tamazight,0,TRUE,,,
12,DZA,Shawiya,0,FALSE,,,
13,DZA,Mzab,0,FALSE,,,
14,DZA,Tuareg,0,FALSE,,,
15,ASM,Samoan,88.6,FALSE,,,
16,ASM,English,3.9,FALSE,,,
17,ASM,Tongan,2.7,FALSE,,,
18,ASM,Other,3,FALSE,,,
19,ASM,Other,1.8,FALSE,,,
20,AND,Catalan,0,TRUE,,,
21,AND,French,0,FALSE,,,
22,AND,Castilian,0,FALSE,,,
23,AND,Portuguese,0,FALSE,,,
24,AGO,Portuguese,71.2,TRUE,,,
25,AGO,Umbundu,23,FALSE,,,
26,AGO,Kikongo,8.2,FALSE,,,
27,AGO,Kimbundu,7.8,FALSE,,,
28,AGO,Chokwe,6.5,FALSE,,,
29,AGO,Nhaneca,3.4,FALSE,,,
30,AGO,Nganguela,3.1,FALSE,,,
31,AGO,Fiote,2.4,FALSE,,,
32,AGO,Kwanhama,2.3,FALSE,,,
33,AGO,Muhumbi,2.1,FALSE,,,
34,AGO,Luvale,1,FALSE,,,
35,AGO,Other,3.6,FALSE,,,
36,AIA,English,0,TRUE,,,
37,ATG,English,0,TRUE,,,
38,ATG,Antiguan creole,0,FALSE,,,
39,ARG,Spanish,0,TRUE,,,
40,ARG,Italian,0,FALSE,,,
41,ARG,English,0,FALSE,,,
42,ARG,German,0,FALSE,,,
43,ARG,French,0,FALSE,,,
44,ARG,indigenous,0,FALSE,,,
45,ARM,Armenian,97.9,TRUE,,,
46,ARM,Kurdish,1,FALSE,,,
47,ARM,Other,1,FALSE,,,
48,ABW,Papiamento,69.4,TRUE,,,
49,ABW,Spanish,13.7,FALSE,,,
50,ABW,English,7.1,FALSE,,,
51,ABW,Dutch,6.1,TRUE,,,
52,ABW,Chinese,1.5,FALSE,,,
53,ABW,Other,1.7,FALSE,,,
54,ABW,unspecified,0.4,FALSE,,,
55,AUS,English,76.8,FALSE,,,
56,AUS,Mandarin,1.6,FALSE,,,
57,AUS,Italian,1.4,FALSE,,,
58,AUS,Arabic,1.3,FALSE,,,
59,AUS,Greek,1.2,FALSE,,,
60,AUS,Cantonese,1.2,FALSE,,,
61,AUS,Vietnamese,1.1,FALSE,,,
62,AUS,Other,10.4,FALSE,,,
63,AUS,unspecified,5,FALSE,,,
64,AUT,German,88.6,TRUE,,,
65,AUT,Turkish,2.3,FALSE,,,
66,AUT,Serbian,2.2,FALSE,,,
67,AUT,Croatian,1.6,TRUE,,,
68,AUT,Other,5.3,FALSE,,,
69,AZE,Azerbaijani,92.5,TRUE,,,
70,AZE,Russian,1.4,FALSE,,,
71,AZE,Armenian,1.4,FALSE,,,
72,AZE,Other,4.7,FALSE,,,
73,BHS,English,0,TRUE,,,
74,BHS,Creole,0,FALSE,,,
75,BHR,Arabic,0,TRUE,,,
76,BHR,English,0,FALSE,,,
77,BHR,Farsi,0,FALSE,,,
78,BHR,Urdu,0,FALSE,,,
79,BGD,Bangla,98.8,TRUE,,,
80,BGD,Other,1.2,FALSE,,,
81,BRB,English,0,TRUE,,,
82,BRB,Bajan,0,FALSE,,,
83,BLR,Russian,70.2,TRUE,,,
84,BLR,Belarusian,23.4,TRUE,,,
85,BLR,Other,3.1,FALSE,,,
86,BLR,unspecified,3.3,FALSE,,,
87,BEL,Dutch,60,TRUE,,,
88,BEL,French,40,TRUE,,,
89,BEL,German,1,TRUE,,,
90,BLZ,English,62.9,TRUE,,,
91,BLZ,Spanish,56.6,FALSE,,,
92,BLZ,Creole,44.6,FALSE,,,
